"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"2015"	"2015"	"St. John the Baptist Parish, LA"	"22095"	382	43626	875.6	869.4
	"2015"	"2015"	"St. Tammany Parish, LA"	"22103"	2111	250088	844.1	754.5
"Total"	"2015"	"2015"			7637	873271	874.5	776.1
	"2016"	"2016"	"Jefferson Parish, LA"	"22051"	4181	436523	957.8	793.0
	"2016"	"2016"	"Plaquemines Parish, LA"	"22075"	176	23464	750.1	734.5
	"2016"	"2016"	"St. Bernard Parish, LA"	"22087"	378	45688	827.4	922.8
	"2016"	"2016"	"St. Charles Parish, LA"	"22089"	407	52923	769.0	781.3
	"2016"	"2016"	"St. James Parish, LA"	"22093"	227	21557	1053.0	901.0
	"2016"	"2016"	"St. John the Baptist Parish, LA"	"22095"	412	43631	944.3	905.1
	"2016"	"2016"	"St. Tammany Parish, LA"	"22103"	2122	253602	836.7	736.9
"Total"	"2016"	"2016"			7903	877388	900.7	785.3
	"2017"	"2017"	"Jefferson Parish, LA"	"22051"	4379	439036	997.4	814.0
	"2017"	"2017"	"Plaquemines Parish, LA"	"22075"	201	23348	860.9	828.2
	"2017"	"2017"	"St. Bernard Parish, LA"	"22087"	372	46202	805.2	892.6
	"2017"	"2017"	"St. Charles Parish, LA"	"22089"	429	52749	813.3	839.5
	"2017"	"2017"	"St. James Parish, LA"	"22093"	218	21367	1020.3	871.1
	"2017"	"2017"	"St. John the Baptist Parish, LA"	"22095"	422	43441	971.4	975.2
	"2017"	"2017"	"St. Tammany Parish, LA"	"22103"	2283	256327	890.7	783.7
"Total"	"2017"	"2017"			8304	882470	941.0	816.5
	"2018"	"2018"	"Jefferson Parish, LA"	"22051"	4303	434051	991.4	793.8
	"2018"	"2018"	"Plaquemines Parish, LA"	"22075"	176	23410	751.8	731.9
	"2018"	"2018"	"St. Bernard Parish, LA"	"22087"	402	46721	860.4	932.5
	"2018"	"2018"	"St. Charles Parish, LA"	"22089"	432	52879	817.0	809.5
	"2018"	"2018"	"St. James Parish, LA"	"22093"	199	21037	946.0	775.6
	"2018"	"2018"	"St. John the Baptist Parish, LA"	"22095"	441	43184	1021.2	1010.1
	"2018"	"2018"	"St. Tammany Parish, LA"	"22103"	2382	258111	922.9	780.7
"Total"	"2018"	"2018"			8335	879393	947.8	802.8
"Total"					151749	17187014	882.9	870.1
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"States: Jefferson Parish, LA (22051); Plaquemines Parish, LA (22075); St. Bernard Parish, LA (22087); St. Charles Parish, LA"
"(22089); St. James Parish, LA (22093); St. John the Baptist Parish, LA (22095); St. Tammany Parish, LA (22103)"
"Group By: Year; County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 18, 2020 12:19:00 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Feb 18, 2020 12:19:00 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2000 Standard Population."
"3. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Age-Adjusted Rates."
"4. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"5. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for"
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS"
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The"
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal"
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18,"
"2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race"
"estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on"
"October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999"
"intercensal series of July 1 estimates. Population figures for the infant age groups are the number of live births."
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to"
"use of the population estimates which were available at the time of release."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
