"GEO2010","COUNTY","HFLG175","FAVINC0D","MDFAMY0","FAY0100","FAY0150","FAY0200","FAY0250","FAY0300","FAY0350","FAY0400","FAY0450","FAY0500","FAY0600","FAY0750","FAY01000","FAY01250","FAY01500","FAY02000","FAY0M200"
"22073000600","73","0","287","14139","95","55","27","22","14","9","13","17","12","3","8","5","0","0","0","2"
"22073000700","73","1","566","13306","239","65","56","54","10","23","22","30","15","34","13","0","0","0","0","5"
"22073000900","73","0","391","17074","158","17","60","74","11","19","11","9","0","11","4","7","0","0","0","0"
"22073001100","73","1","815","18097","214","110","136","55","101","57","31","25","33","12","26","9","0","6","0","0"
"22073001400","73","3","664","22213","154","92","81","40","85","37","34","20","29","56","2","27","0","0","0","12"
"22073001500","73","0","429","18750","150","36","35","34","31","39","48","0","18","14","16","3","0","0","0","0"
"22073001700","73","1","813","56116","71","30","26","14","48","29","33","30","73","62","79","148","65","23","20","56"
"22073005100","73","1","519","43242","28","17","50","12","49","46","34","46","18","74","28","83","21","7","0","6"
"22073005201","73","0","1017","64851","17","29","86","25","21","21","40","57","78","72","139","256","86","33","12","30"
"22073005203","73","0","345","61436","9","9","17","9","15","11","13","14","22","42","52","64","35","9","8","8"
"22073005204","73","1","2054","61436","58","56","108","56","94","66","79","86","137","256","310","387","209","58","53","49"
"22073005301","73","0","1627","47222","95","57","102","76","108","104","121","127","91","247","153","203","71","13","28","16"
"22073005302","73","1","1343","46396","106","70","35","130","86","46","64","101","126","98","130","203","66","7","46","29"
"22073005400","73","1","463","38380","34","29","34","57","47","9","39","31","27","71","41","38","0","0","0","6"
"22073005500","73","1","890","32614","96","41","80","82","105","70","67","34","29","77","59","112","31","1","1","6"
"22073005800","73","0","697","27280","72","92","69","68","79","60","48","58","4","49","51","25","4","0","5","4"
"22073005900","73","1","835","28208","115","55","84","89","96","55","70","32","38","119","41","16","21","0","0","4"
"22073010101","73","1","1267","49720","47","46","66","78","83","97","65","89","62","163","173","188","83","13","7","0"
"22073010102","73","2","1755","32607","235","145","135","128","134","98","143","93","93","153","163","131","38","22","35","9"
"22073010201","73","1","1378","55401","71","27","36","105","68","89","68","66","88","173","212","173","128","14","30","30"
"22073010202","73","0","1339","58182","40","29","14","33","62","101","79","141","37","164","164","238","102","44","27","49"
"22073010301","73","1","877","86568","24","15","28","34","19","36","35","38","37","26","92","116","123","38","96","120"
"22073010302","73","2","868","41733","70","25","42","57","106","54","70","41","72","103","106","63","24","30","3","17"
"22073010400","73","3","2094","42446","93","147","101","110","169","137","202","156","57","235","196","277","125","85","18","16"
"22073010502","73","1","1177","44840","41","14","116","92","93","111","58","66","98","121","155","105","69","27","0","11"
"22073010503","73","0","1094","41775","45","41","71","72","116","88","82","73","66","128","79","123","49","19","17","18"
"22073010504","73","1","1570","41775","65","59","104","104","168","128","118","105","96","186","114","178","72","29","25","26"
"22073010603","73","1","1339","24688","249","129","153","145","137","34","83","77","48","75","100","63","12","2","5","27"
"22073010604","73","1","679","35799","43","64","47","25","73","76","58","36","11","93","37","82","20","0","7","7"
"22073010700","73","2","653","15042","225","102","50","69","25","8","52","13","21","28","41","24","0","0","0","0"
"22073010800","73","3","378","20445","102","62","32","29","24","19","25","12","2","21","23","19","22","0","2","8"
"22073010900","73","2","1339","29576","217","127","127","62","170","87","99","88","94","86","87","72","18","0","0","5"
"22073011000","73","3","1173","26986","303","106","64","107","97","75","41","49","38","93","66","72","46","3","12","6"
"22073011100","73","4","871","23116","159","117","92","105","50","48","95","40","29","59","16","56","8","0","8","11"
"22073980000","73","1","424","14139","141","83","42","33","23","16","20","26","19","7","13","9","0","0","0","4"
"22075050100","75","0","399","32847","93","31","14","27","16","26","28","27","18","27","22","37","14","4","2","7"
"22075050200","75","0","1911","58138","62","12","68","74","158","79","76","134","88","227","220","401","168","59","30","40"
"22075050300","75","0","773","40182","49","79","33","79","49","47","54","69","61","59","105","74","27","1","1","1"
"22075050400","75","0","701","40375","98","49","30","57","43","26","39","53","24","68","63","67","28","16","6","26"
"22075050500","75","0","686","34464","115","26","16","56","65","71","35","36","31","78","95","44","8","0","0","10"
"22075050600","75","0","421","35035","65","51","19","34","24","15","38","33","28","43","21","24","15","0","0","4"
"22075050700","75","0","871","41216","113","53","44","74","49","27","51","91","67","85","66","93","13","8","17","5"
"22075050800","75","0","440","42056","26","31","39","20","37","16","34","48","20","74","54","31","5","7","5","1"
"22075990000","75","0","784","36619","131","66","39","57","46","39","58","64","39","79","61","68","29","12","8","16"
"22077951900","77","0","1510","31103","231","152","145","92","108","79","84","58","115","125","139","86","35","29","5","12"
"22077952000","77","0","729","21549","137","129","70","66","86","36","66","29","23","16","36","15","20","0","0","0"
"22077952100","77","0","1337","42704","147","64","95","64","102","65","79","79","55","153","203","128","60","12","11","18"
"22077952200","77","0","1014","45208","88","45","59","51","64","62","81","55","24","122","126","135","59","28","15","0"
"22077952300","77","0","362","36581","53","24","34","15","46","5","34","30","1","31","37","1","40","1","17","8"
"22077952400","77","0","1264","40000","86","75","111","98","104","53","106","91","60","140","155","116","42","4","5","20"
"22079010100","79","0","2195","45062","97","94","179","132","164","152","81","189","137","252","325","205","92","25","28","28"
"22079010300","79","0","1361","34033","99","136","80","147","137","102","102","94","75","157","96","92","44","0","0","0"
"22079010400","79","0","810","58036","30","23","38","49","5","46","66","22","46","91","129","110","71","33","21","30"
"22079010500","79","0","1835","24520","377","218","165","174","127","113","139","69","78","143","95","93","28","2","0","14"
"22079010600","79","0","1319","35302","101","77","109","96","157","112","129","75","33","194","112","95","21","0","0","8"
"22079010700","79","0","948","48081","72","80","46","72","41","60","66","20","50","112","139","105","16","24","30","15"
"22079011000","79","0","814","19211","192","111","128","61","74","57","25","41","23","68","10","19","0","5","0","0"
"22079011300","79","0","727","39792","36","44","60","81","43","60","40","36","42","63","66","62","53","25","6","10"
"22079011500","79","0","1748","48200","115","97","93","122","82","131","105","56","109","189","174","210","111","46","35","73"
"22079011600","79","0","653","37232","50","20","65","23","74","82","39","32","24","68","70","33","28","10","11","24"
"22079011700","79","0","554","22222","93","56","88","93","29","10","28","10","13","76","9","20","22","7","0","0"
"22079012000","79","0","557","12540","207","102","47","77","42","15","38","7","10","6","0","0","6","0","0","0"
"22079012100","79","0","808","30221","105","67","73","104","46","62","51","57","30","68","34","67","8","6","0","16"
"22079012200","79","0","919","34792","123","95","44","76","51","74","51","31","52","60","81","80","29","22","16","34"
"22079012301","79","0","1651","60192","26","52","41","81","110","57","84","80","93","191","226","150","178","84","76","114"
"22079012302","79","0","687","60192","12","23","18","35","47","24","35","34","39","80","94","63","75","36","32","48"
"22079012400","79","0","944","47500","13","29","68","97","48","65","54","52","86","135","101","79","64","16","11","26"
"22079012500","79","0","1672","39986","82","92","104","118","109","173","152","60","124","145","183","182","77","17","0","40"
"22079012600","79","0","613","36107","69","59","14","43","62","44","40","21","29","59","48","27","24","10","7","57"
"22079012700","79","0","690","21289","192","76","63","83","101","24","41","39","1","26","23","19","1","7","0","8"
"22079012800","79","0","352","24792","39","33","69","37","50","18","7","29","19","21","15","7","8","0","0","0"
"22079012900","79","0","629","21141","158","71","75","33","33","82","59","25","33","36","12","12","0","0","0","0"
"22079013000","79","0","674","27763","136","67","22","53","93","72","34","16","37","49","55","26","7","7","0","0"
