"GEO2010","COUNTY","HFLG175","FAVINC1AD","MDFAMY1A","FAY0101A","FAY0151A","FAY0201A","FAY0251A","FAY0301A","FAY0351A","FAY0401A","FAY0451A","FAY0501A","FAY0601A","FAY0751A","FAY01001A","FAY01251A","FAY01501A","FAY02001A","FAY0M201A"
"22017023901","17","1","1305","75762","38","0","74","80","0","78","27","64","36","156","87","272","190","95","78","30"
"22017023903","17","1","853","62212","46","10","33","0","10","28","57","14","67","127","83","156","59","38","90","35"
"22017023904","17","0","791","75724","0","0","0","44","12","24","18","7","37","21","227","169","51","85","74","22"
"22017023905","17","1","1165","92536","37","65","12","87","29","22","0","10","0","89","110","188","285","127","63","41"
"22017024000","17","1","2544","127237","62","0","0","0","106","0","47","65","12","133","136","299","361","286","399","638"
"22017024102","17","1","1052","53659","47","14","62","58","54","63","69","52","64","97","211","132","32","0","57","40"
"22017024104","17","1","1790","39754","197","39","174","239","89","53","110","210","167","234","155","90","21","0","0","12"
"22017024106","17","1","1932","46638","15","134","84","102","108","151","185","130","101","142","210","293","184","15","37","41"
"22017024107","17","1","1356","52589","12","38","77","98","63","155","14","82","68","234","153","189","132","29","12","0"
"22017024108","17","1","1778","58789","63","11","10","78","105","152","64","101","54","298","300","245","150","87","45","15"
"22017024109","17","1","913","67869","9","9","76","21","31","19","45","28","57","84","136","235","86","51","10","16"
"22017024201","17","0","956","43224","0","81","80","70","51","102","42","79","3","111","120","186","25","6","0","0"
"22017024202","17","3","2254","64922","60","39","148","75","45","234","69","79","123","160","304","398","238","167","73","42"
"22017024203","17","1","1352","50184","17","35","123","76","72","106","125","73","42","187","113","165","79","79","60","0"
"22017024301","17","1","1920","51351","82","67","72","50","188","161","62","74","157","260","110","242","199","56","126","14"
"22017024303","17","1","1193","60740","71","0","0","97","63","55","48","114","29","105","227","166","63","123","32","0"
"22017024304","17","2","1419","53641","31","37","68","104","138","60","67","100","0","138","112","228","156","71","80","29"
"22017024400","17","1","1134","59348","40","7","57","83","49","50","53","70","44","120","186","139","80","53","12","91"
"22017024503","17","0","1298","43871","148","130","86","72","29","30","121","47","80","109","158","141","53","83","11","0"
"22017024504","17","1","1476","45455","88","47","124","102","133","53","99","86","47","86","240","151","88","69","32","31"
"22017024601","17","0","1225","26103","272","177","53","103","68","107","49","79","71","45","81","54","45","11","0","10"
"22017024602","17","1","979","22515","90","148","191","142","88","59","34","25","21","47","82","33","10","0","9","0"
"22017024700","17","2","575","76931","0","23","0","8","7","0","16","10","20","42","92","174","86","18","13","66"
"22017024800","17","2","212","51750","9","4","7","17","37","2","16","0","7","39","23","13","16","0","5","17"
"22017024900","17","2","763","47313","51","30","60","75","40","28","48","31","34","110","129","60","1","0","19","47"
"22017025000","17","2","972","34643","128","50","125","78","17","95","83","44","5","74","104","19","63","26","0","61"
"22017025100","17","1","503","41161","56","27","27","39","34","28","34","27","8","62","15","57","61","20","2","6"
"22017025200","17","2","183","45066","11","42","23","2","13","0","0","0","24","10","0","24","34","0","0","0"
"22017025300","17","4","181","14063","27","89","9","21","9","0","0","19","0","0","0","7","0","0","0","0"
"22017025405","17","1","1278","73947","54","41","7","22","7","65","68","49","96","123","115","274","165","73","31","88"
"22017025406","17","1","1441","54696","135","38","103","89","127","65","21","46","36","98","176","203","158","74","37","35"
"22017980000","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22019000100","19","3","342","41863","13","0","7","20","38","31","24","51","0","69","22","4","32","0","24","7"
"22019000200","19","1","341","57123","0","10","24","11","0","9","22","18","0","86","93","31","15","11","11","0"
"22019000300","19","0","419","21581","104","49","35","34","18","11","46","23","0","25","20","40","6","8","0","0"
"22019000400","19","1","325","21779","99","20","25","26","21","0","10","9","0","35","14","8","15","19","24","0"
"22019000500","19","0","870","57292","9","10","41","67","19","90","35","72","81","12","70","94","112","21","53","84"
"22019000600","19","1","1654","22222","299","282","150","194","61","147","80","122","0","82","75","65","58","0","39","0"
"22019000700","19","0","1165","34505","87","59","96","141","146","63","114","14","0","121","99","36","82","37","44","26"
"22019000800","19","0","652","29980","69","0","88","13","157","63","94","0","21","12","29","73","0","0","0","33"
"22019000900","19","2","1078","47563","7","38","91","97","21","74","88","87","113","77","84","103","142","42","0","14"
"22019001000","19","2","967","59360","43","0","38","50","11","48","46","75","48","135","87","138","88","47","33","80"
"22019001100","19","1","746","35966","77","78","53","28","31","89","69","39","14","8","125","70","17","29","19","0"
"22019001201","19","1","1166","40643","76","95","51","25","100","186","41","64","31","95","113","145","106","19","11","8"
"22019001202","19","1","828","25833","123","94","89","100","34","47","42","42","24","90","35","0","82","8","10","8"
"22019001300","19","1","1771","72264","39","13","16","28","26","56","14","154","51","251","322","357","144","149","106","45"
"22019001400","19","0","1669","37484","185","62","254","58","173","24","109","98","95","163","171","146","48","83","0","0"
"22019001500","19","2","474","26339","70","55","34","63","28","44","15","5","6","35","55","17","6","28","0","13"
"22019001600","19","0","809","27993","12","126","17","76","204","112","29","0","0","46","70","78","39","0","0","0"
"22019001700","19","2","2338","47270","128","112","206","116","160","95","192","81","116","168","249","357","146","15","81","116"
"22019001801","19","1","2515","80889","61","0","78","48","70","124","93","86","83","142","426","295","507","218","143","141"
"22019001901","19","1","944","92708","0","0","0","38","7","59","0","37","0","71","161","135","81","101","93","161"
"22019001903","19","1","1439","63229","37","26","60","71","129","27","46","75","35","176","180","103","222","141","75","36"
"22019001904","19","1","1257","98456","27","0","0","9","36","56","61","30","9","97","115","199","275","82","74","187"
"22019002000","19","1","2268","58656","69","82","15","102","158","140","169","86","143","213","266","492","154","44","96","39"
"22019002100","19","2","863","57358","44","56","37","51","34","6","49","27","56","88","86","140","106","67","7","9"
"22019002201","19","0","2053","62753","101","50","95","67","30","179","70","73","89","177","321","298","177","133","92","101"
"22019002203","19","1","1801","77516","15","0","36","134","12","81","99","84","60","112","233","367","261","138","81","88"
"22019002204","19","1","1463","61037","40","52","59","41","36","92","70","121","47","154","162","247","131","123","41","47"
"22019002300","19","0","728","58409","11","23","19","24","52","17","42","94","27","69","46","92","98","51","55","8"
"22019002400","19","1","1644","49808","67","93","141","146","72","104","72","73","56","207","173","198","94","87","40","21"
"22019002500","19","3","909","60288","28","0","55","47","78","24","39","22","56","104","79","190","54","13","3","117"
"22019002600","19","1","1384","43295","101","81","144","14","114","87","97","142","53","115","129","183","40","61","13","10"
"22019002700","19","0","2046","51103","98","66","141","114","225","71","180","63","50","131","266","336","98","87","78","42"
"22019002800","19","1","1322","31802","178","27","214","95","116","112","97","61","54","47","146","83","32","29","19","12"
"22019002900","19","0","556","45450","0","20","7","36","53","73","14","66","60","75","36","65","27","8","16","0"
"22019003000","19","0","1344","47232","182","88","0","80","49","72","95","81","59","77","99","205","119","65","37","36"
"22019003101","19","0","1331","77523","29","26","22","89","22","39","38","45","46","152","146","284","199","71","42","81"
"22019003102","19","1","688","74714","38","0","0","0","0","29","18","37","11","90","125","137","70","49","43","41"
"22019003200","19","4","670","53083","21","30","125","0","22","21","61","8","40","43","67","54","82","15","37","44"
"22019003300","19","3","1264","67805","146","8","39","83","35","44","73","46","14","100","192","250","132","66","28","8"
"22019003400","19","1","1144","83571","13","0","26","41","44","18","18","70","11","115","128","239","186","99","95","41"
"22019003500","19","1","956","38672","43","83","31","96","87","62","110","0","38","125","77","104","64","9","27","0"
"22019003600","19","3","1202","43636","95","96","81","85","101","68","48","33","68","52","103","134","154","27","23","34"
"22019980000","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22019980100","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22021000100","21","0","695","50083","53","43","17","72","35","13","28","35","51","91","61","131","57","0","0","8"
"22021000200","21","0","672","58426","39","20","45","29","44","37","18","39","39","43","124","107","49","27","12","0"
"22021000300","21","0","1015","39880","123","109","40","27","38","42","132","48","57","69","82","138","44","15","20","31"
"22023970100","23","0","1435","71521","109","16","21","69","53","42","15","48","88","139","165","378","117","83","52","40"
"22023970201","23","0","643","59450","44","26","61","51","40","37","27","0","16","25","183","61","0","0","30","42"
"22023990000","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22025000100","25","0","1032","41977","49","18","98","102","156","31","28","76","62","137","82","89","82","0","13","9"
"22025000200","25","0","747","27788","116","61","77","59","72","19","23","79","41","43","54","53","46","0","0","4"
"22025000300","25","0","1046","48306","51","38","81","61","110","33","71","43","56","183","159","85","28","27","0","20"
"22027950100","27","0","1157","44359","19","40","37","130","85","133","69","85","23","124","60","204","91","29","4","24"
"22027950200","27","0","477","26941","87","64","36","22","38","15","57","0","13","9","25","35","46","19","11","0"
"22027950300","27","0","760","40519","63","65","51","115","53","9","13","80","32","22","78","109","42","9","14","5"
"22027950400","27","0","776","36955","149","48","62","17","21","48","71","19","44","57","38","145","39","4","0","14"
"22027950500","27","0","775","45250","29","35","83","16","74","48","44","57","36","29","95","112","41","43","33","0"
"22029000100","29","0","764","34434","108","86","47","28","33","92","25","29","0","16","32","66","92","79","31","0"
"22029000200","29","0","1177","22580","142","256","172","154","0","76","104","46","0","105","21","58","9","0","12","22"
"22029000300","29","0","1122","42705","42","61","115","51","95","112","47","94","53","131","112","137","37","35","0","0"
"22029000400","29","0","1150","42074","156","22","55","71","78","73","47","105","61","90","144","141","21","40","36","10"
"22029000500","29","0","823","53036","25","56","103","28","0","56","34","72","24","83","91","116","43","52","40","0"
"22031950100","31","0","2323","55865","60","104","69","201","37","94","198","103","123","314","269","362","149","53","158","29"
"22031950200","31","0","1276","54643","81","25","49","62","73","60","97","66","42","143","90","237","110","50","65","26"
"22031950300","31","0","693","39201","85","36","46","35","89","21","46","2","10","35","61","74","39","34","75","5"
"22031950400","31","0","751","53949","88","30","29","41","59","37","64","2","0","82","76","141","73","9","0","20"
"22031950500","31","0","404","36875","71","15","30","46","23","11","15","15","18","29","70","30","11","7","13","0"
"22031950600","31","0","743","25231","166","107","96","0","35","49","60","18","12","77","22","66","15","20","0","0"
"22031950700","31","0","759","40964","7","71","60","0","91","90","47","61","4","81","61","61","40","21","46","18"
"22033000100","33","1","379","34620","14","22","32","91","11","23","17","39","9","31","40","27","0","0","23","0"
"22033000200","33","1","1685","27016","304","175","167","132","129","155","113","43","74","150","126","26","73","0","0","18"
"22033000300","33","1","396","40119","4","37","44","11","53","48","0","78","8","15","24","74","0","0","0","0"
"22033000400","33","1","674","23667","121","148","19","65","31","64","38","54","38","34","0","12","50","0","0","0"
"22033000500","33","1","893","19576","218","137","101","118","55","39","40","10","66","49","51","9","0","0","0","0"
"22033000601","33","1","809","22548","120","159","69","82","74","71","61","70","13","10","44","0","12","12","12","0"
"22033000602","33","1","1045","29912","54","48","145","127","151","55","45","57","41","137","40","113","22","0","10","0"
"22033000701","33","1","540","48989","46","42","47","22","33","18","19","15","47","61","80","52","0","20","38","0"
"22033000702","33","1","948","31421","29","46","145","95","105","128","12","89","29","73","80","64","36","0","8","9"
"22033000900","33","1","1022","25270","124","130","119","130","114","73","29","71","30","77","60","42","6","0","17","0"
"22033001000","33","1","812","33704","92","97","72","42","57","60","29","66","63","103","82","42","7","0","0","0"
"22033001102","33","1","698","42535","86","0","48","8","68","75","55","80","14","33","94","54","50","0","16","17"
"22033001103","33","1","818","39280","53","58","28","55","80","93","59","103","24","46","66","25","44","71","0","13"
"22033001104","33","1","810","17119","188","128","141","82","57","7","29","57","39","45","14","23","0","0","0","0"
"22033001600","33","0","739","51865","78","21","51","66","16","0","55","23","11","126","130","74","31","6","38","13"
"22033001700","33","1","1057","71295","11","0","68","13","43","102","18","43","59","129","83","69","105","45","55","214"
"22033001800","33","1","524","43571","91","19","23","11","41","10","31","44","9","24","71","51","79","4","11","5"
"22033001900","33","1","738","80924","28","0","28","17","10","14","30","40","27","91","67","73","70","64","107","72"
"22033002000","33","1","927","91693","0","0","57","13","60","19","50","10","10","105","38","153","170","58","97","87"
"22033002200","33","1","269","19724","40","0","103","7","7","13","0","9","37","5","24","0","0","16","0","8"
"22033002300","33","0","656","109427","0","0","0","9","18","8","0","10","15","102","23","82","111","48","108","122"
"22033002400","33","0","549","23031","154","44","49","59","55","49","46","19","20","7","20","9","0","18","0","0"
"22033002500","33","1","607","31393","47","153","43","9","32","51","39","28","21","45","14","22","79","0","10","14"
"22033002601","33","1","701","105774","18","0","0","0","0","0","33","32","0","15","64","174","81","71","94","119"
"22033002602","33","1","988","98286","68","0","32","13","0","69","30","0","33","18","113","142","100","71","79","220"
"22033002700","33","1","432","34929","62","19","62","39","0","35","13","16","37","2","39","18","0","16","20","54"
"22033002801","33","0","262","26184","21","36","45","20","29","39","18","12","8","23","0","11","0","0","0","0"
