"","LE_x","GEOID","city","ACS.majBlack"
"272",72.6,"22087030103","New Orleans-Metairie, LA",FALSE
"273",73,"22087030104","New Orleans-Metairie, LA",FALSE
"274",73.5,"22087030203","New Orleans-Metairie, LA",FALSE
"275",71.9,"22087030204","New Orleans-Metairie, LA",TRUE
"276",73,"22087030206","New Orleans-Metairie, LA",FALSE
"277",78.1,"22087030207","New Orleans-Metairie, LA",FALSE
"278",77,"22087030208","New Orleans-Metairie, LA",FALSE
"279",76.9,"22087030209","New Orleans-Metairie, LA",FALSE
"280",76.9,"22087030300","New Orleans-Metairie, LA",FALSE
"281",74.4,"22087030400","New Orleans-Metairie, LA",FALSE
"282",74.9,"22087030500","New Orleans-Metairie, LA",FALSE
"283",74.2,"22087030602","New Orleans-Metairie, LA",FALSE
"284",75.5,"22087030700","New Orleans-Metairie, LA",FALSE
"285",72.4,"22087030800","New Orleans-Metairie, LA",FALSE
"286",78.1,"22089060100","New Orleans-Metairie, LA",FALSE
"287",79.5,"22089062100","New Orleans-Metairie, LA",FALSE
"288",77.9,"22089062301","New Orleans-Metairie, LA",FALSE
"289",80.6,"22089062302","New Orleans-Metairie, LA",FALSE
"290",72.2,"22089062400","New Orleans-Metairie, LA",FALSE
"291",76.1,"22089062500","New Orleans-Metairie, LA",FALSE
"292",75.3,"22089062700","New Orleans-Metairie, LA",TRUE
"293",72.7,"22089062800","New Orleans-Metairie, LA",TRUE
"294",76.5,"22089062900","New Orleans-Metairie, LA",FALSE
"295",77.8,"22089063000","New Orleans-Metairie, LA",FALSE
"296",79.8,"22089063100","New Orleans-Metairie, LA",FALSE
"297",75.8,"22089063200","New Orleans-Metairie, LA",FALSE
"298",75,"22093040100","New Orleans-Metairie, LA",FALSE
"299",75.1,"22093040200","New Orleans-Metairie, LA",FALSE
"300",80.4,"22093040300","New Orleans-Metairie, LA",FALSE
"301",74,"22093040400","New Orleans-Metairie, LA",TRUE
"302",75.1,"22093040500","New Orleans-Metairie, LA",TRUE
"303",77,"22093040600","New Orleans-Metairie, LA",TRUE
"304",79,"22093040700","New Orleans-Metairie, LA",FALSE
"305",81,"22095070100","New Orleans-Metairie, LA",FALSE
"306",73.9,"22095070200","New Orleans-Metairie, LA",TRUE
"307",76.8,"22095070300","New Orleans-Metairie, LA",FALSE
"308",78.2,"22095070400","New Orleans-Metairie, LA",FALSE
"309",72.1,"22095070500","New Orleans-Metairie, LA",TRUE
"310",75.6,"22095070600","New Orleans-Metairie, LA",TRUE
"311",75.6,"22095070700","New Orleans-Metairie, LA",FALSE
"312",70.7,"22095070800","New Orleans-Metairie, LA",TRUE
"313",73,"22095070900","New Orleans-Metairie, LA",TRUE
"314",72.7,"22095071000","New Orleans-Metairie, LA",FALSE
"315",75.3,"22095071100","New Orleans-Metairie, LA",TRUE
"316",75.8,"22103040102","New Orleans-Metairie, LA",FALSE
"317",76.4,"22103040103","New Orleans-Metairie, LA",FALSE
"318",77.6,"22103040104","New Orleans-Metairie, LA",FALSE
"319",78.4,"22103040201","New Orleans-Metairie, LA",FALSE
"320",78.5,"22103040202","New Orleans-Metairie, LA",FALSE
"321",79.3,"22103040303","New Orleans-Metairie, LA",FALSE
"322",83.6,"22103040304","New Orleans-Metairie, LA",FALSE
"323",80.5,"22103040305","New Orleans-Metairie, LA",FALSE
"324",81.4,"22103040400","New Orleans-Metairie, LA",FALSE
