"","LE_x","GEOID","city","ACS.majBlack","LE","city.fac"
"130",72.2,1073012104,"Birmingham",FALSE,72.2,"Birmingham"
"131",74,1073012200,"Birmingham",FALSE,74,"Birmingham"
"132",69.4,1073012302,"Birmingham",FALSE,69.4,"Birmingham"
"133",75.8,1073012304,"Birmingham",FALSE,75.8,"Birmingham"
"134",72.3,1073012305,"Birmingham",TRUE,72.3,"Birmingham"
"135",73,1073012401,"Birmingham",TRUE,73,"Birmingham"
"136",70.5,1073012402,"Birmingham",TRUE,70.5,"Birmingham"
"137",73.9,1073012403,"Birmingham",FALSE,73.9,"Birmingham"
"138",69.6,1073012500,"Birmingham",FALSE,69.6,"Birmingham"
"139",72.1,1073012602,"Birmingham",FALSE,72.1,"Birmingham"
"140",75.6,1073012701,"Birmingham",FALSE,75.6,"Birmingham"
"141",80.1,1073012703,"Birmingham",FALSE,80.1,"Birmingham"
"142",76.2,1073012704,"Birmingham",FALSE,76.2,"Birmingham"
"143",78.5,1073012802,"Birmingham",FALSE,78.5,"Birmingham"
"144",79.6,1073012803,"Birmingham",FALSE,79.6,"Birmingham"
"145",78.7,1073012905,"Birmingham",FALSE,78.7,"Birmingham"
"146",84.6,1073012906,"Birmingham",FALSE,84.6,"Birmingham"
"147",80.3,1073012907,"Birmingham",FALSE,80.3,"Birmingham"
"148",74.2,1073012908,"Birmingham",FALSE,74.2,"Birmingham"
"149",77.2,1073012910,"Birmingham",FALSE,77.2,"Birmingham"
"150",82.9,1073012911,"Birmingham",FALSE,82.9,"Birmingham"
"151",77.8,1073012912,"Birmingham",FALSE,77.8,"Birmingham"
"152",77.2,1073012913,"Birmingham",FALSE,77.2,"Birmingham"
"153",84.4,1073012915,"Birmingham",FALSE,84.4,"Birmingham"
"154",71.9,1073013002,"Birmingham",TRUE,71.9,"Birmingham"
"155",70.8,1073013100,"Birmingham",TRUE,70.8,"Birmingham"
"156",70.3,1073013200,"Birmingham",TRUE,70.3,"Birmingham"
"157",73,1073013300,"Birmingham",TRUE,73,"Birmingham"
