"","GEOID","incomeMob.pctile.fac","pctile.range","LE","STATEFP10","COUNTYFP10","kfr_pooled_pooled_p25"
"340","22103040705","3","36 - 41",75.4,"22","103",0.39531448
"341","22103040706","4","41 - 46",75.7,"22","103",0.41954482
"342","22103040708","4","41 - 46",NA,"22","103",0.45970389
"343","22103040709","5","46 - 70",76.6,"22","103",0.47835511
"344","22103040710","3","36 - 41",79.4,"22","103",0.392432
"345","22103040801","4","41 - 46",76.7,"22","103",0.42073682
"346","22103040802","5","46 - 70",NA,"22","103",0.49029869
"347","22103040803","3","36 - 41",75,"22","103",0.38007227
"348","22103040900","3","36 - 41",69.5,"22","103",0.37540951
"349","22103041002","4","41 - 46",77.6,"22","103",0.45700607
"350","22103041003","4","41 - 46",78.6,"22","103",0.42152998
"351","22103041004","4","41 - 46",76.7,"22","103",0.43979162
"352","22103041101","3","36 - 41",75.4,"22","103",0.40696406
"353","22103041102","3","36 - 41",75.7,"22","103",0.37469825
"354","22103041103","2","33 - 36",69.8,"22","103",0.34241125
"355","22103041104","3","36 - 41",75.9,"22","103",0.4092806
"356","22103041202","3","36 - 41",76.6,"22","103",0.37622777
"357","22103041204","3","36 - 41",75.8,"22","103",0.40530306
"358","22103041207","5","46 - 70",78.8,"22","103",0.51430398
"359","22103041208","5","46 - 70",83,"22","103",0.5565691
"360","22103041209","5","46 - 70",80.3,"22","103",0.46376932
"361","22103041210","3","36 - 41",76.9,"22","103",0.38166675
"362","22103041211","4","41 - 46",78.8,"22","103",0.43522391
"363","22103041212","5","46 - 70",NA,"22","103",0.47410971
"364","22103041300","5","46 - 70",81.5,"22","103",0.48716533
"365","22075050100","3","36 - 41",75.5,"22","075",0.36973724
"366","22075050200","5","46 - 70",78.4,"22","075",0.47843194
"367","22075050300","4","41 - 46",77.2,"22","075",0.44242755
"368","22075050400","2","33 - 36",NA,"22","075",0.35887188
"369","22075050500","3","36 - 41",71.5,"22","075",0.40162355
"370","22075050600","4","41 - 46",71.1,"22","075",0.4411096
"371","22075050700","5","46 - 70",NA,"22","075",0.47337684
"372","22075050800","3","36 - 41",72.2,"22","075",0.40123272
"373","22089060100","3","36 - 41",78.1,"22","089",0.40373176
"374","22089062100","4","41 - 46",79.5,"22","089",0.42752853
"375","22089062200","2","33 - 36",NA,"22","089",0.35207239
"376","22089062301","5","46 - 70",77.9,"22","089",0.49547526
"377","22089062302","5","46 - 70",80.6,"22","089",0.46144241
"378","22089062400","3","36 - 41",72.2,"22","089",0.39806476
"379","22089062500","4","41 - 46",76.1,"22","089",0.42806646
"380","22089062700","3","36 - 41",75.3,"22","089",0.39543349
"381","22089062800","3","36 - 41",72.7,"22","089",0.40058437
"382","22089062900","4","41 - 46",76.5,"22","089",0.45409349
"383","22089063000","5","46 - 70",77.8,"22","089",0.51426929
"384","22089063100","5","46 - 70",79.8,"22","089",0.52209002
"385","22089063200","4","41 - 46",75.8,"22","089",0.45749748
"386","22095070100","3","36 - 41",81,"22","095",0.40993738
"387","22095070200","3","36 - 41",73.9,"22","095",0.36329067
