"","GEOID","kfr_pooled_pooled_p25","ACS.pctBlack","LE"
"159","22071013100",0.28225243,0.706666666666667,73.5
"160","22071013200",0.31895292,0.46988416988417,NA
"161","22071013301",0.47729188,0.0444087747458534,85.1
"162","22071013302",0.57466978,0.215405904059041,80.4
"163","22071013400",0.37484717,0.234530175706646,78.8
"164","22071013500",0.41052669,0.0376811594202899,NA
"165","22071013600",0.28389356,0.493003229278794,68.5
"166","22071013700",0.30546638,0.948018747337026,66
"167","22071013800",0.29546922,0.959201388888889,69.9
"168","22071013900",0.32734713,0.426775612822124,81.2
"169","22071014000",0.27653864,0.92116434202547,72.1
"170","22071014100",0.3211416,0.565775950668037,NA
"171","22071014200",0.29984468,0.327932960893855,76.7
"172","22071014300",0.29084855,0.877573734001113,69.5
"173","22071014400",0.35418421,0.365239294710327,77.1
"174","22071014500",NA,0.887076537013802,NA
"175","22051020101",0.41142592,0.0333333333333333,76.3
"176","22051020102",0.49333498,0.0103341370995522,81.3
"177","22051020201",0.50705278,0.104065647146587,80.2
"178","22051020202",0.40967003,0.325660121868653,NA
"179","22051020203",0.48656404,0.0218866879069123,82.1
"180","22051020301",0.4891535,0.0345500139314572,81.4
"181","22051020302",0.48334581,0.0225240145743624,80.7
"182","22051020303",0.48036489,0.00078003120124805,80.3
"183","22051020400",0.54299814,0.00224502886465683,80.6
"184","22051020502",0.41917133,0.128063725490196,79.2
"185","22051020505",0.32410848,0.803932584269663,NA
"186","22051020506",0.46017906,0.0475728155339806,NA
"187","22051020507",0.49819955,0.0525435872940053,79.5
"188","22051020508",0.41493428,0.169930345643317,80.5
"189","22051020511",0.4748928,0.146689638198376,80.7
"190","22051020512",0.47148001,0.0431357839459865,78.6
"191","22051020513",0.46929193,0.231494920174165,79.3
"192","22051020514",0.56301111,0,82.7
"193","22051020515",0.44228104,0.132723833543506,78.2
"194","22051020516",0.38539293,0.315585475316197,74.9
"195","22051020517",0.44785213,0.0506738544474394,79.8
"196","22051020600",0.33177352,0.831894593366652,74.4
"197","22051020700",0.34925762,0.460910151691949,68.8
"198","22051021000",0.36296412,0.316087613293051,75.4
"199","22051021100",0.43050307,0.0847457627118644,74.6
"200","22051021200",0.36293313,0.160729431721798,75.5
"201","22051021300",0.46922177,0.101769911504425,77.7
"202","22051021400",0.43230066,0.0469018932874355,80.9
"203","22051021500",0.40931088,0.324728769173214,72.6
"204","22051021600",0.44414696,0.0747735298633502,78.9
"205","22051021700",0.43985328,0.0885051268213708,77
"206","22051021801",0.51245391,0.0749242096145517,78.2
"207","22051021803",0.37377864,0.374619906750456,75.9
"208","22051021804",0.43578243,0.199124726477024,74.4
"209","22051021900",0.54775858,0.164650184113624,77.6
"210","22051022001",0.40110344,0.374907885040531,75.8
"211","22051022002",0.58789641,0.0290114613180516,80.1
"212","22051022101",0.58232713,0.00139178844815588,81.3
"213","22051022102",0.40205002,0.138790035587189,80.9
"214","22051022200",0.45020479,0.0137375651350071,74.1
"215","22051022301",0.53350914,0.00562983814215341,80.8
"216","22051022302",0.39103711,0.0661577608142494,75.7
"217","22051022303",0.49135372,0.094256663918659,78.4
"218","22051022400",0.48859233,0.0163370593293207,81.5
"219","22051022500",0.50066417,0.0285938112025069,81.5
"220","22051022600",0.49195939,0.0220839813374806,82.8
"221","22051022700",0.50465357,0,81.8
"222","22051022800",0.47550479,0.000346140533056421,78.1
"223","22051022900",0.43762705,0.0598320503848845,75.2
"224","22051023001",0.53652841,0.0246842709529277,80.5
"225","22051023002",0.49215922,0.0235221926774392,82
"226","22051023003",0.45784667,0.024113475177305,80.8
"227","22051023100",0.40357113,0.011441647597254,79.4
"228","22051023200",0.40093389,0.0364226469527587,73.2
"229","22051023300",0.44093296,0.0277252678008822,76.5
"230","22051023400",0.47428554,0.0197486535008977,77.8
"231","22051023500",0.42082179,0.0326968973747017,76.8
"232","22051023600",0.41602397,0.150880626223092,73.9
"233","22051023700",0.32216692,0.964039408866995,72.4
"234","22051023800",0.37257481,0.349619978284473,74.4
"235","22051023901",0.49462238,0.00361591000401768,77.7
"236","22051023902",0.56529182,0.0255854293148309,80.9
"237","22051023903",0.4997358,0.0021505376344086,80.4
"238","22051023904",0.46622846,0.0391949152542373,80
"239","22051024001",0.46597287,0.012085635359116,77
"240","22051024002",0.52804035,0.000625586487331874,NA
"241","22051024100",0.46181485,0.0686244204018547,76.4
"242","22051024201",0.42195296,0.0931734317343173,74.6
"243","22051024202",0.4064042,0.222292191435768,79.2
"244","22051024300",0.4143112,0.0666430343849699,78
"245","22051024400",0.41364145,0.214738246082027,75.4
"246","22051024500",0.45927221,0.0163934426229508,77.3
"247","22051024600",0.30291972,0.655537459283388,74.1
"248","22051024700",0.37646499,0.255903349807798,70.2
"249","22051024800",0.51391214,0.00408830744071954,82.5
"250","22051024900",0.34775141,0.217142857142857,68.8
"251","22051025001",0.3950766,0.505631440210879,74.7
"252","22051025002",0.41644996,0.260376231710958,73
"253","22051025003",0.51233494,0.188029661016949,75.8
"254","22051025102",0.47242755,0.224288067780654,77.8
"255","22051025103",0.40427512,0.400917209751388,78.1
"256","22051025104",0.4102245,0.387910518800571,77
"257","22051025201",0.3387332,0.413195724290453,73.6
"258","22051025202",0.38759404,0.333789745930321,74.5
"259","22051025300",0.4428243,0.0644033949076385,76.8
"260","22051025400",0.34948099,0.3629388514299,74.9
"261","22051025500",0.32297891,0.531756318859365,75.5
"262","22051025600",0.40060395,0.206397103198552,74.3
"263","22051025700",0.32715222,0.710957722174288,69
"264","22051025800",0.35702103,0.479203280609256,70.9
"265","22051025900",0.36691931,0.391674263141902,75.1
"266","22051026000",0.41093773,0.151402858655373,69.3
"267","22051026100",0.35670972,0.47612293144208,71.1
"268","22051026200",0.2907134,0.953301127214171,NA
"269","22051026300",0.45913383,0.102821083890126,75.6
"270","22051026400",0.41635063,0.0696744717304398,73.9
"271","22051026500",0.45643976,0.136527563111798,72.3
"272","22051026600",0.44083539,0.0452511188463451,71.5
"273","22051026700",0.37721488,0.301546391752577,71.2
"274","22051026800",0.34427834,0.774254435636089,68
"275","22051026900",0.313719,0.93190330268982,72.2
"276","22051027000",0.38690028,0.361553398058252,71.9
"277","22051027100",0.41475156,0.162234042553191,72.7
"278","22051027200",0.37513795,0.270862658355118,72.1
"279","22051027501",0.38011885,0.582781456953642,73.8
"280","22051027502",0.30868733,0.996707572583059,73.1
"281","22051027601",0.41061935,0.341302710843373,73
"282","22051027602",0.33299029,0.633412745681953,72.6
"283","22051027701",0.32333219,0.954291518537329,73.1
"284","22051027703",0.37617242,0.54973313925279,71.9
"285","22051027803",0.37531933,0.527179157285301,72.3
"286","22051027804",0.44483396,0.426440014675309,77.7
"287","22051027805",0.40044573,0.524632267102498,78.2
"288","22051027806",0.41751298,0.124468731026108,78.5
"289","22051027807",0.43182907,0.227076713572401,79.3
"290","22051027809",0.40061697,0.279543350817649,76.9
"291","22051027810",0.41292647,0.705043859649123,NA
"292","22051027811",0.3753708,0.815267175572519,75.5
"293","22051027812",0.37239608,0.866807116104869,70.8
"294","22051027901",0.49408323,0.00723389596968653,75.3
"295","22051027902",0.49006495,0.000528820729772607,73.8
"296","22051028000",0.42561764,0.198432343234323,76
"297","22051028100",0.33172053,0.862718707940781,71.8
"298","22051028200",0.35428831,0.390032756200281,72.2
"299","22087030103",0.39854351,0.215707722598994,72.6
"300","22087030104",0.36837739,0.0160618679357525,73
"301","22087030105",0.41806042,0.101754385964912,NA
"302","22087030203",0.42291686,0.0686682520808561,73.5
"303","22087030204",0.35970116,0.694529232214135,71.9
"304","22087030206",0.45073402,0.0943765281173594,73
"305","22087030207",0.46359783,0.102272727272727,78.1
"306","22087030208",0.48946619,0.116095890410959,77
"307","22087030209",0.46338549,0.175540006084576,76.9
"308","22087030300",0.3973673,0.1318347509113,76.9
"309","22087030400",0.44280913,0.123348017621145,74.4
"310","22087030500",0.43236521,0.164130434782609,74.9
"311","22087030601",0.48647356,0.296269727403156,NA
"312","22087030602",0.44672108,0.16144489495024,74.2
"313","22087030603",0.39613235,0.4764631043257,NA
"314","22087030700",0.45936641,0.150061500615006,75.5
"315","22087030800",0.40324315,0.188091391645511,72.4
"316","22093040100",0.45244277,0.395497498610339,75
"317","22103040102",0.40301439,0.0310647639956092,75.8
"318","22103040103",0.46405742,0,76.4
"319","22103040104",0.4131577,0.0113019891500904,77.6
"320","22093040200",0.42006019,0.403163234855267,75.1
"321","22103040201",0.43301189,0.0614295969644139,78.4
"322","22103040202",0.45749781,0.0129093198992443,78.5
"323","22093040300",0.52049369,0.179726368159204,80.4
"324","22103040303",0.45437708,0.0357338594760495,79.3
"325","22103040304",0.51887637,0,83.6
"326","22103040305",0.41922241,0.0610122883904786,80.5
"327","22093040400",0.35281625,0.688325991189427,74
"328","22103040400",0.43171719,0.0232009925558313,81.4
"329","22093040500",0.35208344,0.938872148084374,75.1
"330","22103040501",0.35390022,0.454311755082963,74.1
"331","22103040502",0.42676926,0.251877816725088,77.6
"332","22093040600",0.36003339,0.757427472911569,77
"333","22103040601",0.34556338,0,78.1
"334","22103040602",0.56180799,0,78.5
"335","22103040604",0.44311282,0.0494499509857314,81.4
"336","22103040605",0.45117795,0.0687160940325497,79.2
"337","22093040700",0.45745614,0.352250489236791,79
"338","22103040701",0.39454335,0.23897478468403,78.4
"339","22103040704",0.3610127,0.184347826086957,NA
"340","22103040705",0.39531448,0.15258074252943,75.4
"341","22103040706",0.41954482,0.0294063591251608,75.7
"342","22103040708",0.45970389,0.0713350785340314,NA
"343","22103040709",0.47835511,0.0955794504181601,76.6
"344","22103040710",0.392432,0.118586640851888,79.4
"345","22103040801",0.42073682,0.177878395860285,76.7
"346","22103040802",0.49029869,0.0455752212389381,NA
"347","22103040803",0.38007227,0.490419035586439,75
"348","22103040900",0.37540951,0.58576512455516,69.5
"349","22103041002",0.45700607,0.0440271932664293,77.6
"350","22103041003",0.42152998,0.122375215146299,78.6
"351","22103041004",0.43979162,0.036379769299024,76.7
"352","22103041101",0.40696406,0.203236932873441,75.4
"353","22103041102",0.37469825,0.266869542206933,75.7
"354","22103041103",0.34241125,0.311326658322904,69.8
"355","22103041104",0.4092806,0.162518301610542,75.9
"356","22103041202",0.37622777,0.241971620612397,76.6
"357","22103041204",0.40530306,0.216627196809174,75.8
"358","22103041207",0.51430398,0.0277974087161366,78.8
"359","22103041208",0.5565691,0.00545206724216265,83
"360","22103041209",0.46376932,0.026968927105726,80.3
"361","22103041210",0.38166675,0.00883466554480438,76.9
"362","22103041211",0.43522391,0.00175494575622208,78.8
"363","22103041212",0.47410971,0.0303030303030303,NA
"364","22103041300",0.48716533,0.0761992904519513,81.5
"365","22075050100",0.36973724,0.84024064171123,75.5
"366","22075050200",0.47843194,0.0275692163303613,78.4
"367","22075050300",0.44242755,0.111285882815572,77.2
"368","22075050400",0.35887188,0.40912886167548,NA
"369","22075050500",0.40162355,0.563573883161512,71.5
"370","22075050600",0.4411096,0.281281281281281,71.1
"371","22075050700",0.47337684,0,NA
"372","22075050800",0.40123272,0.207317073170732,72.2
