"","LE_x","GEOID","city","ACS.majBlack","LE"
"1606",88.8,6037480901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,88.8
"1607",80.3,6037480902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.3
"1608",80.7,6037480903,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.7
"1609",83.7,6037481001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.7
"1610",81,6037481002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81
"1611",82.8,6037481101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.8
"1612",83.1,6037481102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.1
"1613",80.9,6037481103,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.9
"1614",80.5,6037481201,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.5
"1615",82.3,6037481202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.3
"1616",84.3,6037481300,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.3
"1617",82.8,6037481401,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.8
"1618",84.2,6037481402,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.2
"1619",83.2,6037481500,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.2
"1620",77.4,6037481603,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.4
"1621",83.8,6037481604,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.8
"1622",80.2,6037481605,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.2
"1623",84.2,6037481606,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.2
"1624",93.3,6037481711,"Los Angeles-Long Beach-Anaheim, CA",FALSE,93.3
"1625",82.3,6037481712,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.3
"1626",85.1,6037481713,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.1
"1627",85.4,6037481714,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.4
"1628",86.6,6037481800,"Los Angeles-Long Beach-Anaheim, CA",FALSE,86.6
"1629",83.2,6037481901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.2
"1630",83,6037481902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83
"1631",85.1,6037482001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.1
"1632",84.7,6037482002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.7
"1633",84,6037482101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84
"1634",84.6,6037482102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.6
"1635",85,6037482201,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85
"1636",85.2,6037482202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.2
"1637",81.7,6037482301,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.7
"1638",83.7,6037482303,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.7
"1639",84.5,6037482304,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.5
"1640",81.9,6037482401,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.9
"1641",80.6,6037482402,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.6
"1642",79.8,6037482502,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.8
"1643",85.9,6037482503,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.9
"1644",88,6037482521,"Los Angeles-Long Beach-Anaheim, CA",FALSE,88
"1645",84.4,6037482522,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.4
"1646",83,6037482600,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83
"1647",81.4,6037482701,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.4
"1648",82.2,6037482702,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.2
"1649",82.4,6037482800,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.4
"1650",85.7,6037500100,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.7
"1651",83.5,6037500202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.5
"1652",82.6,6037500300,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.6
"1653",77.1,6037500402,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.1
"1654",84.8,6037500403,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.8
"1655",80.5,6037500404,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.5
"1656",77.2,6037500500,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.2
"1657",82.3,6037500600,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.3
"1658",80.8,6037500700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.8
"1659",80.6,6037500800,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.6
"1660",83.1,6037500900,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.1
"1661",79.4,6037501001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.4
"1662",78.7,6037501002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1663",81.8,6037501200,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.8
"1664",84.1,6037501300,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.1
"1665",79.8,6037501400,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.8
"1666",83.4,6037501501,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.4
"1667",77.9,6037501503,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.9
"1668",82.4,6037501504,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.4
"1669",83.6,6037501600,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.6
"1670",82.2,6037501700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.2
"1671",79.8,6037501802,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.8
"1672",77.9,6037501803,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.9
"1673",80.2,6037501804,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.2
"1674",80.7,6037501900,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.7
"1675",78.7,6037502003,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1676",78.7,6037502004,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1677",81.7,6037502005,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.7
"1678",83.1,6037502100,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.1
"1679",80.1,6037502200,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.1
"1680",82.1,6037502301,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.1
"1681",80.8,6037502302,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.8
"1682",79,6037502401,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79
"1683",81.8,6037502402,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.8
"1684",80.6,6037502500,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.6
"1685",81.2,6037502601,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.2
"1686",81.7,6037502602,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.7
"1687",82.4,6037502700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.4
"1688",80.7,6037502801,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.7
"1689",80.6,6037502802,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.6
"1690",82.9,6037502901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.9
"1691",83.4,6037502902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.4
"1692",78.5,6037503000,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.5
"1693",78.4,6037503103,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.4
"1694",87.4,6037503104,"Los Angeles-Long Beach-Anaheim, CA",FALSE,87.4
"1695",84.5,6037503105,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.5
"1696",80.8,6037503106,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.8
"1697",79.9,6037503201,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.9
"1698",82.1,6037503202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.1
"1699",79,6037503301,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79
"1700",79.9,6037503302,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.9
"1701",79.7,6037503401,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.7
"1702",80.5,6037503402,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.5
"1703",81.8,6037503501,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.8
"1704",80,6037503502,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80
"1705",82.4,6037503601,"Los Angeles-Long Beach-Anaheim, CA",FALSE,82.4
"1706",83.8,6037503602,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.8
"1707",81.9,6037503701,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.9
"1708",83.8,6037503702,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.8
"1709",85.9,6037503703,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.9
"1710",81.3,6037503801,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.3
"1711",80.2,6037503802,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.2
"1712",81.5,6037503901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.5
"1713",79.6,6037503902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.6
"1714",80.9,6037504001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.9
"1715",83.1,6037504002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.1
"1716",81.5,6037504101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.5
"1717",84.9,6037530003,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.9
"1718",84.4,6037530004,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.4
"1719",81,6037530005,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81
"1720",81.2,6037530006,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.2
"1721",83.3,6037530101,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.3
"1722",80.9,6037530102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.9
"1723",83.4,6037530202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.4
"1724",84.3,6037530203,"Los Angeles-Long Beach-Anaheim, CA",FALSE,84.3
"1725",79.1,6037530204,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.1
